,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
260,BG1,SO2,2020-11-01 20:00:00,1.1,ppb,R
261,BG1,SO2,2020-11-01 21:00:00,0.8,ppb,R
262,BG1,SO2,2020-11-01 22:00:00,1.3,ppb,R
263,BG1,SO2,2020-11-01 23:00:00,0.8,ppb,R
264,BG1,SO2,2020-12-01 00:00:00,1.1,ppb,R
265,BG1,SO2,2020-12-01 01:00:00,1.1,ppb,R
266,BG1,SO2,2020-12-01 02:00:00,1.1,ppb,R
267,BG1,SO2,2020-12-01 03:00:00,1.1,ppb,R
268,BG1,SO2,2020-12-01 04:00:00,1.6,ppb,R
269,BG1,SO2,2020-12-01 05:00:00,1.1,ppb,R
270,BG1,SO2,2020-12-01 06:00:00,1.1,ppb,R
271,BG1,SO2,2020-12-01 07:00:00,1.9,ppb,R
272,BG1,SO2,2020-12-01 08:00:00,1.3,ppb,R
273,BG1,SO2,2020-12-01 09:00:00,1.1,ppb,R
274,BG1,SO2,2020-12-01 10:00:00,1.3,ppb,R
275,BG1,SO2,2020-12-01 11:00:00,1.6,ppb,R
276,BG1,SO2,2020-12-01 12:00:00,0.8,ppb,R
277,BG1,SO2,2020-12-01 13:00:00,1.9,ppb,R
278,BG1,SO2,2020-12-01 14:00:00,1.3,ppb,R
279,BG1,SO2,2020-12-01 15:00:00,1.3,ppb,R
280,BG1,SO2,2020-12-01 16:00:00,1.1,ppb,R
281,BG1,SO2,2020-12-01 17:00:00,1.1,ppb,R
282,BG1,SO2,2020-12-01 18:00:00,1.9,ppb,R
283,BG1,SO2,2020-12-01 19:00:00,1.3,ppb,R
284,BG1,SO2,2020-12-01 20:00:00,1.1,ppb,R
285,BG1,SO2,2020-12-01 21:00:00,1.1,ppb,R
286,BG1,SO2,2020-12-01 22:00:00,1.3,ppb,R
287,BG1,SO2,2020-12-01 23:00:00,1.1,ppb,R
288,BG1,SO2,2020-01-13 00:00:00,1.8,ppb,R
289,BG1,SO2,2020-01-13 01:00:00,1.4,ppb,R
290,BG1,SO2,2020-01-13 02:00:00,1.6,ppb,R
291,BG1,SO2,2020-01-13 03:00:00,1.3,ppb,R
292,BG1,SO2,2020-01-13 04:00:00,1.3,ppb,R
293,BG1,SO2,2020-01-13 05:00:00,1.1,ppb,R
294,BG1,SO2,2020-01-13 06:00:00,1.9,ppb,R
295,BG1,SO2,2020-01-13 07:00:00,1.3,ppb,R
296,BG1,SO2,2020-01-13 08:00:00,1.6,ppb,R
297,BG1,SO2,2020-01-13 09:00:00,1.1,ppb,R
298,BG1,SO2,2020-01-13 10:00:00,1.3,ppb,R
299,BG1,SO2,2020-01-13 11:00:00,1.6,ppb,R
300,BG1,SO2,2020-01-13 12:00:00,1.3,ppb,R
301,BG1,SO2,2020-01-13 13:00:00,1.3,ppb,R
302,BG1,SO2,2020-01-13 14:00:00,1.3,ppb,R
303,BG1,SO2,2020-01-13 15:00:00,1.3,ppb,R
304,BG1,SO2,2020-01-13 16:00:00,1.1,ppb,R
305,BG1,SO2,2020-01-13 17:00:00,0.8,ppb,R
306,BG1,SO2,2020-01-13 18:00:00,0.8,ppb,R
307,BG1,SO2,2020-01-13 19:00:00,1.3,ppb,R
308,BG1,SO2,2020-01-13 20:00:00,1.6,ppb,R
309,BG1,SO2,2020-01-13 21:00:00,1.3,ppb,R
310,BG1,SO2,2020-01-13 22:00:00,1.3,ppb,R
311,BG1,SO2,2020-01-13 23:00:00,1.9,ppb,R
312,BG1,SO2,2020-01-14 00:00:00,1.1,ppb,R
313,BG1,SO2,2020-01-14 01:00:00,1.1,ppb,R
314,BG1,SO2,2020-01-14 02:00:00,1.1,ppb,R
315,BG1,SO2,2020-01-14 03:00:00,1.3,ppb,R
316,BG1,SO2,2020-01-14 04:00:00,1.3,ppb,R
317,BG1,SO2,2020-01-14 05:00:00,1.1,ppb,R
318,BG1,SO2,2020-01-14 06:00:00,1.1,ppb,R
319,BG1,SO2,2020-01-14 07:00:00,1.3,ppb,R
320,BG1,SO2,2020-01-14 08:00:00,1.3,ppb,R
321,BG1,SO2,2020-01-14 09:00:00,1.6,ppb,R
322,BG1,SO2,2020-01-14 10:00:00,1.6,ppb,R
323,BG1,SO2,2020-01-14 11:00:00,1.6,ppb,R
324,BG1,SO2,2020-01-14 12:00:00,1.3,ppb,R
325,BG1,SO2,2020-01-14 13:00:00,1.1,ppb,R
326,BG1,SO2,2020-01-14 14:00:00,1.1,ppb,R
327,BG1,SO2,2020-01-14 15:00:00,1.1,ppb,R
328,BG1,SO2,2020-01-14 16:00:00,1.9,ppb,R
329,BG1,SO2,2020-01-14 17:00:00,1.3,ppb,R
330,BG1,SO2,2020-01-14 18:00:00,1.3,ppb,R
331,BG1,SO2,2020-01-14 19:00:00,1.1,ppb,R
332,BG1,SO2,2020-01-14 20:00:00,1.9,ppb,R
333,BG1,SO2,2020-01-14 21:00:00,1.1,ppb,R
334,BG1,SO2,2020-01-14 22:00:00,1.3,ppb,R
335,BG1,SO2,2020-01-14 23:00:00,1.3,ppb,R
336,BG1,SO2,2020-01-15 00:00:00,1.1,ppb,R
337,BG1,SO2,2020-01-15 01:00:00,1.4,ppb,R
338,BG1,SO2,2020-01-15 02:00:00,1.3,ppb,R
339,BG1,SO2,2020-01-15 03:00:00,1.1,ppb,R
340,BG1,SO2,2020-01-15 04:00:00,1.3,ppb,R
341,BG1,SO2,2020-01-15 05:00:00,1.9,ppb,R
342,BG1,SO2,2020-01-15 06:00:00,0.8,ppb,R
343,BG1,SO2,2020-01-15 07:00:00,0.8,ppb,R
344,BG1,SO2,2020-01-15 08:00:00,1.6,ppb,R
345,BG1,SO2,2020-01-15 09:00:00,1.1,ppb,R
346,BG1,SO2,2020-01-15 10:00:00,1.3,ppb,R
347,BG1,SO2,2020-01-15 11:00:00,1.6,ppb,R
348,BG1,SO2,2020-01-15 12:00:00,1.1,ppb,R
349,BG1,SO2,2020-01-15 13:00:00,1.1,ppb,R
350,BG1,SO2,2020-01-15 14:00:00,1.3,ppb,R
351,BG1,SO2,2020-01-15 15:00:00,0.8,ppb,R
352,BG1,SO2,2020-01-15 16:00:00,1.6,ppb,R
353,BG1,SO2,2020-01-15 17:00:00,1.3,ppb,R
354,BG1,SO2,2020-01-15 18:00:00,1.9,ppb,R
355,BG1,SO2,2020-01-15 19:00:00,1.6,ppb,R
356,BG1,SO2,2020-01-15 20:00:00,1.6,ppb,R
357,BG1,SO2,2020-01-15 21:00:00,1.3,ppb,R
358,BG1,SO2,2020-01-15 22:00:00,0.8,ppb,R
359,BG1,SO2,2020-01-15 23:00:00,1.3,ppb,R
360,BG1,SO2,2020-01-16 00:00:00,1.1,ppb,R
361,BG1,SO2,2020-01-16 01:00:00,1.4,ppb,R
362,BG1,SO2,2020-01-16 02:00:00,1.6,ppb,R
363,BG1,SO2,2020-01-16 03:00:00,0.8,ppb,R
364,BG1,SO2,2020-01-16 04:00:00,1.3,ppb,R
365,BG1,SO2,2020-01-16 05:00:00,1.1,ppb,R
366,BG1,SO2,2020-01-16 06:00:00,1.9,ppb,R
367,BG1,SO2,2020-01-16 07:00:00,0.8,ppb,R
368,BG1,SO2,2020-01-16 08:00:00,0.8,ppb,R
369,BG1,SO2,2020-01-16 09:00:00,1.3,ppb,R
370,BG1,SO2,2020-01-16 10:00:00,1.6,ppb,R
371,BG1,SO2,2020-01-16 11:00:00,1.1,ppb,R
372,BG1,SO2,2020-01-16 12:00:00,1.1,ppb,R
373,BG1,SO2,2020-01-16 13:00:00,0.8,ppb,R
374,BG1,SO2,2020-01-16 14:00:00,1.9,ppb,R
375,BG1,SO2,2020-01-16 15:00:00,1.6,ppb,R
376,BG1,SO2,2020-01-16 16:00:00,1.3,ppb,R
377,BG1,SO2,2020-01-16 17:00:00,1.6,ppb,R
378,BG1,SO2,2020-01-16 18:00:00,1.6,ppb,R
379,BG1,SO2,2020-01-16 19:00:00,1.3,ppb,R
380,BG1,SO2,2020-01-16 20:00:00,1.1,ppb,R
381,BG1,SO2,2020-01-16 21:00:00,1.3,ppb,R
382,BG1,SO2,2020-01-16 22:00:00,0.8,ppb,R
383,BG1,SO2,2020-01-16 23:00:00,1.1,ppb,R
384,BG1,SO2,2020-01-17 00:00:00,1.4,ppb,R
385,BG1,SO2,2020-01-17 01:00:00,1.8,ppb,R
386,BG1,SO2,2020-01-17 02:00:00,1.3,ppb,R
387,BG1,SO2,2020-01-17 03:00:00,1.1,ppb,R
388,BG1,SO2,2020-01-17 04:00:00,1.1,ppb,R
389,BG1,SO2,2020-01-17 05:00:00,1.9,ppb,R
390,BG1,SO2,2020-01-17 06:00:00,1.9,ppb,R
391,BG1,SO2,2020-01-17 07:00:00,1.3,ppb,R
392,BG1,SO2,2020-01-17 08:00:00,1.1,ppb,R
393,BG1,SO2,2020-01-17 09:00:00,1.3,ppb,R
394,BG1,SO2,2020-01-17 10:00:00,0.8,ppb,R
395,BG1,SO2,2020-01-17 11:00:00,0.8,ppb,R
396,BG1,SO2,2020-01-17 12:00:00,1.1,ppb,R
397,BG1,SO2,2020-01-17 13:00:00,1.3,ppb,R
398,BG1,SO2,2020-01-17 14:00:00,1.1,ppb,R
399,BG1,SO2,2020-01-17 15:00:00,1.6,ppb,R
400,BG1,SO2,2020-01-17 16:00:00,1.3,ppb,R
401,BG1,SO2,2020-01-17 17:00:00,1.6,ppb,R
402,BG1,SO2,2020-01-17 18:00:00,1.1,ppb,R
403,BG1,SO2,2020-01-17 19:00:00,1.1,ppb,R
404,BG1,SO2,2020-01-17 20:00:00,1.3,ppb,R
405,BG1,SO2,2020-01-17 21:00:00,1.1,ppb,R
406,BG1,SO2,2020-01-17 22:00:00,1.1,ppb,R
407,BG1,SO2,2020-01-17 23:00:00,1.6,ppb,R
408,BG1,SO2,2020-01-18 00:00:00,1.1,ppb,R
409,BG1,SO2,2020-01-18 01:00:00,0.7,ppb,R
410,BG1,SO2,2020-01-18 02:00:00,1.1,ppb,R
411,BG1,SO2,2020-01-18 03:00:00,0.8,ppb,R
412,BG1,SO2,2020-01-18 04:00:00,1.1,ppb,R
413,BG1,SO2,2020-01-18 05:00:00,1.6,ppb,R
414,BG1,SO2,2020-01-18 06:00:00,1.3,ppb,R
415,BG1,SO2,2020-01-18 07:00:00,1.3,ppb,R
416,BG1,SO2,2020-01-18 08:00:00,1.6,ppb,R
417,BG1,SO2,2020-01-18 09:00:00,1.1,ppb,R
418,BG1,SO2,2020-01-18 10:00:00,0.8,ppb,R
